"Needle Position","Needle-Haystack Similarity","Needle Question Similarity","Needle","Question","Answer","Latency","Review","Score"
"0.0","0.24","0.235028","Report and measure item rate in a system test to show a new way to compare options.","Is the derivation of frequency metrics within a controlled simulation indicative of a novel paradigm for selection criteria?","The document does not contain information to answer this question.","5.509606122970581","No","0.0"
"0.0","0.24","406.966","Report and measure item rate in a system test to show a new way to compare options.","Can we establish a fresh technique for alternative assessment by calculating the frequency of units in a standardized trial?","Yes, a fresh technique for alternative assessment can be established by calculating the frequency of units in a standardized trial.","4.560158014297485","","503.0"
"0.0","0.24","0.623893","Report and measure item rate in a system test to show a new way to compare options.","Does tracking unit frequency within a system test offer a new perspective on option comparison?","Yes, the document mentions that tracking item rate in a system test can show a new way to compare options.","4.44352650642395","Yes","10.0"
"0.0","0.24","0.799046","Report and measure item rate in a system test to show a new way to compare options.","Is a fresh approach to comparing alternatives revealed by reporting on item rates within system tests?","Yes, a fresh approach to comparing options is revealed by reporting and measuring item rates in a system test.","9.159335136413574","Yes","10.0"
"0.0","0.4","0.203188","Persons who document negative outcomes in writing make better future choices in similar situations.","Does the systematic logging of defects result in a measurable improvement in subsequent operational selection?","Yes, persons who document negative outcomes in writing make better future choices in similar situations.","3.2398734092712402","Yes","10.0"
"0.0","0.4","0.399101","Persons who document negative outcomes in writing make better future choices in similar situations.","Is the transcription of adverse events correlated with enhanced decision competence over time?","Yes, persons who document negative outcomes in writing make better future choices in similar situations.","4.411466360092163","Yes","10.0"
"0.0","0.4","0.593162","Persons who document negative outcomes in writing make better future choices in similar situations.","Is there a link between recording negative results and making superior choices when facing similar situations?","Yes, persons who document negative outcomes in writing make better future choices in similar situations.","2.9256398677825928","Yes","10.0"
"0.0","0.4","0.8028","Persons who document negative outcomes in writing make better future choices in similar situations.","What occurs for a persons who document negative outcomes in writing when similar situations arise in the future?","Persons who document negative outcomes in writing make better future choices in similar situations.","2.6791226863861084","Yes","10.0"
"0.0","0.6","0.2164","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What's the curse that activates when humans become yes-men to computers?","The curse that activates when humans become yes-men to computers is automation bias.","9.565063238143921","No","0.0"
"0.0","0.6","0.3921","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What happens to accuracy when users rely solely on protocol faith instead of their own critique?","When users rely solely on protocol faith instead of their own critique, it leads to a higher rate of errors.","50.6449019908905","Yes","10.0"
"0.0","0.6","0.6088","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What happens to error patterns when people treat software outputs as more reliable than their own judgment?","When people treat software outputs as more reliable than their own judgment, it can lead to automation bias, where they favor suggestions from automated systems and ignore contradictory information, even if it is correct. This can result in commission errors (following incorrect automated directives) or omission errors (failing to notice problems the automated system missed).","3.910353422164917","No","0.0"
"0.0","0.6","0.804","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What does research on human tendency in different situations show about individual beliefs on system process?","Research indicates that individual beliefs about system processes, when formed without personal judgment, are linked to a higher rate of errors.","18.96329355239868","Yes","9.0"
"0.0","0.76","0.1999","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What makes a victory mentally cheaper?","The document does not contain information about what makes a victory mentally cheaper.","3.3852338790893555","No","0.0"
"0.0","0.76","0.4018","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","Does attributing good results to ability lower mental demand?","Yes, attributing good results to ability, a form of self-attribution bias, results in less required cognitive processing effort for the task.","4.334485054016113","Yes","10.0"
"0.0","0.76","0.6092","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What effect does a favorable self‑judgment have on the depth of cognitive processing in a task?","A favorable self-judgment leads to less required cognitive processing effort for the task.","3.6097218990325928","Yes","10.0"
"0.0","0.76","0.7942","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What impact does self attribution bias have on mental effort for evaluating successes?","Self-attribution bias leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","2.9893884658813477","Yes","10.0"
"0.1","0.24","0.235028","Report and measure item rate in a system test to show a new way to compare options.","Is the derivation of frequency metrics within a controlled simulation indicative of a novel paradigm for selection criteria?","The document does not contain information to answer whether the derivation of frequency metrics within a controlled simulation is indicative of a novel paradigm for selection criteria.","23.982576847076416","No","0.0"
"0.1","0.24","406.966","Report and measure item rate in a system test to show a new way to compare options.","Can we establish a fresh technique for alternative assessment by calculating the frequency of units in a standardized trial?","The document does not contain information to answer this question.","4.729177713394165","No","0.0"
"0.1","0.24","0.623893","Report and measure item rate in a system test to show a new way to compare options.","Does tracking unit frequency within a system test offer a new perspective on option comparison?","Yes, tracking unit frequency in a system test can offer a new perspective on comparing options.","7.262930154800415","No","0.0"
"0.1","0.24","0.799046","Report and measure item rate in a system test to show a new way to compare options.","Is a fresh approach to comparing alternatives revealed by reporting on item rates within system tests?","Yes, the document states that reporting and measuring item rates in a system test can show a new way to compare options.","6.105356216430664","Yes","10.0"
"0.1","0.4","0.203188","Persons who document negative outcomes in writing make better future choices in similar situations.","Does the systematic logging of defects result in a measurable improvement in subsequent operational selection?","Yes, persons who document negative outcomes in writing make better future choices in similar situations.","13.96213960647583","Yes","10.0"
"0.1","0.4","0.399101","Persons who document negative outcomes in writing make better future choices in similar situations.","Is the transcription of adverse events correlated with enhanced decision competence over time?","The document states that ""Persons who document negative outcomes in writing make better future choices in similar situations.""","5.97014594078064","Yes","10.0"
"0.1","0.4","0.593162","Persons who document negative outcomes in writing make better future choices in similar situations.","Is there a link between recording negative results and making superior choices when facing similar situations?","Yes, persons who document negative outcomes in writing make better future choices in similar situations.","4.905262231826782","Yes","10.0"
"0.1","0.4","0.8028","Persons who document negative outcomes in writing make better future choices in similar situations.","What occurs for a persons who document negative outcomes in writing when similar situations arise in the future?","Persons who document negative outcomes in writing make better future choices in similar situations.","2.2214179039001465","Yes","10.0"
"0.1","0.6","0.2164","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What's the curse that activates when humans become yes-men to computers?","Automation bias.","4.234478235244751","No","0.0"
"0.1","0.6","0.3921","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What happens to accuracy when users rely solely on protocol faith instead of their own critique?","When users rely solely on protocol faith instead of their own critique, individual beliefs on the system process without personal judgment are related to a higher rate of errors.","5.981551885604858","Yes","10.0"
"0.1","0.6","0.6088","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What happens to error patterns when people treat software outputs as more reliable than their own judgment?","When people treat software outputs as more reliable than their own judgment, it leads to automation bias. This bias can manifest as commission errors (following automated directives without considering other information) or omission errors (failing to notice automation failures due to low vigilance or overtrust).","2.220261335372925","No","0.0"
"0.1","0.6","0.804","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What does research on human tendency in different situations show about individual beliefs on system process?","Research shows that individual beliefs on system process without personal judgment are related to a higher rate of errors.","5.598578453063965","Yes","10.0"
"0.1","0.76","0.1999","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What makes a victory mentally cheaper?","The document does not contain information about what makes a victory ""mentally cheaper.""","3.362377405166626","","503.0"
"0.1","0.76","0.4018","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","Does attributing good results to ability lower mental demand?","Yes, attributing good results to ability leads to less required cognitive processing effort for the task.","2.8217520713806152","Yes","10.0"
"0.1","0.76","0.6092","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What effect does a favorable self‑judgment have on the depth of cognitive processing in a task?","A favorable self-judgment leads to less required cognitive processing effort for the task.","6.307278394699097","","503.0"
"0.1","0.76","0.7942","Self attribution bias is a behavior that leads individuals to judge positive outcomes, resulting in less required cognitive processing effort for the task.","What impact does self attribution bias have on mental effort for evaluating successes?","Self-attribution bias leads individuals to judge positive outcomes, which results in less required cognitive processing effort for the task.","5.375581502914429","","503.0"
"0.2","0.24","0.235028","Report and measure item rate in a system test to show a new way to compare options.","Is the derivation of frequency metrics within a controlled simulation indicative of a novel paradigm for selection criteria?","The document does not contain information to answer whether the derivation of frequency metrics within a controlled simulation is indicative of a novel paradigm for selection criteria.","20.722326517105103","","503.0"
"0.2","0.24","406.966","Report and measure item rate in a system test to show a new way to compare options.","Can we establish a fresh technique for alternative assessment by calculating the frequency of units in a standardized trial?","The document does not contain information about establishing a fresh technique for alternative assessment by calculating the frequency of units in a standardized trial.","5.4015936851501465","No","0.0"
"0.2","0.24","0.623893","Report and measure item rate in a system test to show a new way to compare options.","Does tracking unit frequency within a system test offer a new perspective on option comparison?","Yes, report and measure item rate in a system test to show a new way to compare options.","3.302490711212158","Yes","10.0"
"0.2","0.24","0.799046","Report and measure item rate in a system test to show a new way to compare options.","Is a fresh approach to comparing alternatives revealed by reporting on item rates within system tests?","Yes, a fresh approach to comparing alternatives is revealed by reporting on item rates within system tests.","3.096342086791992","No","0.0"
"0.2","0.4","0.203188","Persons who document negative outcomes in writing make better future choices in similar situations.","Does the systematic logging of defects result in a measurable improvement in subsequent operational selection?","The document does not contain information about whether the systematic logging of defects results in a measurable improvement in subsequent operational selection.","4.925652742385864","No","0.0"
"0.2","0.4","0.399101","Persons who document negative outcomes in writing make better future choices in similar situations.","Is the transcription of adverse events correlated with enhanced decision competence over time?","Yes, documenting negative outcomes in writing is correlated with better future choices in similar situations.","2.456486463546753","Yes","10.0"
"0.2","0.4","0.593162","Persons who document negative outcomes in writing make better future choices in similar situations.","Is there a link between recording negative results and making superior choices when facing similar situations?","Yes, persons who document negative outcomes in writing make better future choices in similar situations.","2.6348440647125244","Yes","10.0"
"0.2","0.4","0.8028","Persons who document negative outcomes in writing make better future choices in similar situations.","What occurs for a persons who document negative outcomes in writing when similar situations arise in the future?","Persons who document negative outcomes in writing make better future choices in similar situations.","3.138542890548706","Yes","10.0"
"0.2","0.6","0.2164","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What's the curse that activates when humans become yes-men to computers?","The curse that activates when humans become yes-men to computers is automation bias.","5.627653121948242","No","0.0"
"0.2","0.6","0.3921","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What happens to accuracy when users rely solely on protocol faith instead of their own critique?","When users rely solely on protocol faith instead of their own critique, automation bias can lead to errors of commission, where users follow an automated directive without considering other information.","2.3004400730133057","No","0.0"
"0.2","0.6","0.6088","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What happens to error patterns when people treat software outputs as more reliable than their own judgment?","When people treat software outputs as more reliable than their own judgment, it leads to automation bias. This bias manifests as commission errors, where users follow automated directives without considering other information, or omission errors, where users fail to notice automation failures due to insufficient monitoring.","2.8619978427886963","No","0.0"
"0.2","0.6","0.804","Research on system bias and human tendency in different situations shown that individual beliefs on the system process without personal judgment is related to a higher rate of errors.","What does research on human tendency in different situations show about individual beliefs on system process?","Research on human tendency in different situations shows that individual beliefs on the system process without personal judgment are related to a higher rate of errors.","2.3908936977386475","Yes","10.0"
