needle_id,needle_text,question_text,distractor_text
1,Analysis of automated decision systems revealed that operator reliance on algorithmic recommendations increased error rates by 19% in time-critical scenarios.,What finding resulted from analyzing operator reliance on algorithmic recommendations concerning error rates in time-critical situations?,Studies of automated decision systems found that adding manager oversight to algorithmic recommendations cut errors by 51% during time-sensitive tasks.
2,Analysis of automated decision systems revealed that operator reliance on algorithmic recommendations increased error rates by 19% in time-critical scenarios.,What finding resulted from analyzing operator reliance on algorithmic recommendations concerning error rates in time-critical situations?,Studies of automated decision systems found that adding manager oversight to algorithmic recommendations cut errors by 51% during time-sensitive tasks.
3,Analysis of automated decision systems revealed that operator reliance on algorithmic recommendations increased error rates by 19% in time-critical scenarios.,What finding resulted from analyzing operator reliance on algorithmic recommendations concerning error rates in time-critical situations?,Studies of automated decision systems found that adding manager oversight to algorithmic recommendations cut errors by 51% during time-sensitive tasks.
4,Analysis of automated decision systems revealed that operator reliance on algorithmic recommendations increased error rates by 19% in time-critical scenarios.,What finding resulted from analyzing operator reliance on algorithmic recommendations concerning error rates in time-critical situations?,Studies of automated decision systems found that adding manager oversight to algorithmic recommendations cut errors by 51% during time-sensitive tasks.
5,Analysis of automated decision systems revealed that operator reliance on algorithmic recommendations increased error rates by 19% in time-critical scenarios.,What finding resulted from analyzing operator reliance on algorithmic recommendations concerning error rates in time-critical situations?,Studies of automated decision systems found that adding manager oversight to algorithmic recommendations cut errors by 51% during time-sensitive tasks.
6,Analysis of automated decision systems revealed that operator reliance on algorithmic recommendations increased error rates by 19% in time-critical scenarios.,What finding resulted from analyzing operator reliance on algorithmic recommendations concerning error rates in time-critical situations?,Studies of automated decision systems found that adding manager oversight to algorithmic recommendations cut errors by 51% during time-sensitive tasks.
7,Analysis of automated decision systems revealed that operator reliance on algorithmic recommendations increased error rates by 19% in time-critical scenarios.,What finding resulted from analyzing operator reliance on algorithmic recommendations concerning error rates in time-critical situations?,Studies of automated decision systems found that adding manager oversight to algorithmic recommendations cut errors by 51% during time-sensitive tasks.
8,User adoption of complex technological systems often depends on establishing initial trust through consistent performance and transparent operational feedback mechanisms,"What role does initial trust, built from performance and feedback, play in the adoption of complex systems?","Adoption of complex systems grows as users build continuing trust, fostered by intuitive design and prompt support, rather than from initial impressions."
9,User adoption of complex technological systems often depends on establishing initial trust through consistent performance and transparent operational feedback mechanisms,"What role does initial trust, built from performance and feedback, play in the adoption of complex systems?","Adoption of complex systems grows as users build continuing trust, fostered by intuitive design and prompt support, rather than from initial impressions."
10,Analysis of automated decision systems revealed that operator reliance on algorithmic recommendations increased error rates by 19% in time-critical scenarios.,What finding resulted from analyzing operator reliance on algorithmic recommendations concerning error rates in time-critical situations?,Studies of automated decision systems found that adding manager oversight to algorithmic recommendations cut errors by 51% during time-sensitive tasks.
11,Analysis of automated decision systems revealed that operator reliance on algorithmic recommendations increased error rates by 19% in time-critical scenarios.,What finding resulted from analyzing operator reliance on algorithmic recommendations concerning error rates in time-critical situations?,Studies of automated decision systems found that adding manager oversight to algorithmic recommendations cut errors by 51% during time-sensitive tasks.
